Thu Sep 14 20:55:59 2023    ./out/stats.dmp

         68059 function calls (67973 primitive calls) in 1.797 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.030    0.002    1.073    0.089 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:14(__init__)
       12    0.725    0.060    0.725    0.060 {imread}
       12    0.008    0.001    0.585    0.049 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:31(createMask)
       12    0.047    0.004    0.369    0.031 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:43(conjectBubbles)
       24    0.258    0.011    0.258    0.011 {medianBlur}
       24    0.188    0.008    0.188    0.008 {findContours}
       12    0.015    0.001    0.069    0.006 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\cluster\_dbscan.py:421(fit_predict)
       24    0.059    0.002    0.059    0.002 {bitwise_and}
       24    0.057    0.002    0.057    0.002 {method 'copy' of 'numpy.ndarray' objects}
       12    0.001    0.000    0.054    0.005 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\cluster\_dbscan.py:341(fit)
       12    0.043    0.004    0.043    0.004 {drawContours}
       12    0.042    0.003    0.042    0.003 {mean}
       24    0.041    0.002    0.041    0.002 {bitwise_not}
       12    0.036    0.003    0.036    0.003 {morphologyEx}
    15225    0.035    0.000    0.035    0.000 {contourArea}
       12    0.032    0.003    0.032    0.003 {cvtColor}
       12    0.008    0.001    0.029    0.002 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:37(<listcomp>)
       24    0.029    0.001    0.029    0.001 {threshold}
     2575    0.028    0.000    0.028    0.000 {moments}
       12    0.000    0.000    0.027    0.002 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:1060(radius_neighbors)
       12    0.000    0.000    0.022    0.002 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:40(__call__)
       12    0.001    0.000    0.022    0.002 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:1000(__call__)
       24    0.001    0.000    0.020    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:838(dispatch_one_batch)
  546/498    0.016    0.000    0.019    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6864    0.018    0.000    0.018    0.000 {arcLength}
       12    0.000    0.000    0.018    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:801(_dispatch)
       12    0.000    0.000    0.018    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:206(apply_async)
       12    0.000    0.000    0.017    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:594(__init__)
       12    0.000    0.000    0.017    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:284(__call__)
       12    0.000    0.000    0.017    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:288(<listcomp>)
       12    0.000    0.000    0.017    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:111(__call__)
       12    0.000    0.000    0.016    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:1009(_tree_query_radius_parallel_helper)
       12    0.013    0.001    0.016    0.001 {method 'query_radius' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
       12    0.000    0.000    0.014    0.001 <__array_function__ internals>:177(zeros_like)
       12    0.000    0.000    0.014    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:76(zeros_like)
       36    0.000    0.000    0.014    0.000 <__array_function__ internals>:177(copyto)
       12    0.000    0.000    0.013    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_unsupervised.py:158(fit)
       24    0.000    0.000    0.011    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:592(_validate_params)
       60    0.002    0.000    0.010    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:629(check_array)
      390    0.001    0.000    0.008    0.000 C:\Users\Kind1\dwhelper\ammtl\lib\types\page.py:73(<listcomp>)
       12    0.003    0.000    0.008    0.001 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:451(_fit)
     2313    0.007    0.000    0.007    0.000 {boundingRect}
       24    0.000    0.000    0.006    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:153(get_params)
       24    0.000    0.000    0.006    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:122(_get_param_names)
       36    0.000    0.000    0.005    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\base.py:483(_validate_data)
       24    0.001    0.000    0.005    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\_param_validation.py:28(validate_parameter_constraints)
       24    0.000    0.000    0.004    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:3245(signature)
       24    0.000    0.000    0.004    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:2991(from_callable)
